Estimator,Mean,SD,CI_lower,CI_upper
Naive.OnlyRCT,7.48,0.729890986,7.421,7.549
IPSW,8.52,2.046051224,8.341,8.7
IPSW.norm,8.50,0.96366536,8.42,8.589
IPSW.strat.n.2,8.41,0.975575097,8.329,8.5
IPSW.strat.n.3,8.91,1.049489929,8.815,8.999
IPSW.strat.n.4,9.06,1.174712407,8.958,9.164
IPSW.strat.n.5,8.89,1.450131035,8.76,9.014
IPSW.strat.n.6,8.49,1.406046775,8.37,8.617
IPSW.strat.n.7,8.54,1.077073514,8.445,8.634
IPSW.strat.n.8,8.59,1.173713466,8.483,8.689
IPSW.strat.n.9,8.82,1.123065009,8.724,8.921
IPSW.strat.n.10,8.70,0.911998961,8.617,8.777
G.formula,8.54,0.886785421,8.466,8.622